id,number,name,name_zh_cn,name_zh_tw,name_ja,form,type1,type2,generation,generationGames,goAttack,goDefense,goStamina,goStatsSource,categories,search
8,0008,Wartortle,卡咪龟,卡咪龜,カメール,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,8 Wartortle 卡咪龟 卡咪龜 カメール Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
9,0009,Blastoise,水箭龟,水箭龜,カメックス,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,9 Blastoise 水箭龟 水箭龜 カメックス Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
9,0009,Blastoise,水箭龟,水箭龜,カメックス,Mega Blastoise,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,9 Blastoise Mega Blastoise 水箭龟 水箭龜 カメックス Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
10,0010,Caterpie,绿毛虫,綠毛蟲,キャタピー,,bug,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,10 Caterpie 绿毛虫 綠毛蟲 キャタピー Bug 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
11,0011,Metapod,铁甲蛹,鐵甲蛹,トランセル,,bug,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,11 Metapod 铁甲蛹 鐵甲蛹 トランセル Bug 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
12,0012,Butterfree,巴大蝶,巴大蝶,バタフリー,,bug,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,12 Butterfree 巴大蝶 巴大蝶 バタフリー Bug Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
13,0013,Weedle,独角虫,獨角蟲,ビードル,,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,13 Weedle 独角虫 獨角蟲 ビードル Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
14,0014,Kakuna,铁壳蛹,鐵殼蛹,コクーン,,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,14 Kakuna 铁壳蛹 鐵殼蛹 コクーン Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
15,0015,Beedrill,大针蜂,大針蜂,スピアー,,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,15 Beedrill 大针蜂 大針蜂 スピアー Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
15,0015,Beedrill,大针蜂,大針蜂,スピアー,Mega Beedrill,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,15 Beedrill Mega Beedrill 大针蜂 大針蜂 スピアー Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
16,0016,Pidgey,波波,波波,ポッポ,,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,16 Pidgey 波波 波波 ポッポ Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
17,0017,Pidgeotto,比比鸟,比比鳥,ピジョン,,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,17 Pidgeotto 比比鸟 比比鳥 ピジョン Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
18,0018,Pidgeot,大比鸟,大比鳥,ピジョット,,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,18 Pidgeot 大比鸟 大比鳥 ピジョット Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
18,0018,Pidgeot,大比鸟,大比鳥,ピジョット,Mega Pidgeot,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,18 Pidgeot Mega Pidgeot 大比鸟 大比鳥 ピジョット Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
19,0019,Rattata,小拉达,小拉達,コラッタ,,normal,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,19 Rattata 小拉达 小拉達 コラッタ Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
19,0019,Rattata,小拉达,小拉達,コラッタ,Alolan Rattata,dark,normal,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,19 Rattata Alolan Rattata 小拉达 小拉達 コラッタ Dark Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
20,0020,Raticate,拉达,拉達,ラッタ,,normal,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,20 Raticate 拉达 拉達 ラッタ Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
20,0020,Raticate,拉达,拉達,ラッタ,Alolan Raticate,dark,normal,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,20 Raticate Alolan Raticate 拉达 拉達 ラッタ Dark Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
21,0021,Spearow,烈雀,烈雀,オニスズメ,,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,21 Spearow 烈雀 烈雀 オニスズメ Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
22,0022,Fearow,大嘴雀,大嘴雀,オニドリル,,normal,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,22 Fearow 大嘴雀 大嘴雀 オニドリル Normal Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
23,0023,Ekans,阿柏蛇,阿柏蛇,アーボ,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,23 Ekans 阿柏蛇 阿柏蛇 アーボ Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
24,0024,Arbok,阿柏怪,阿柏怪,アーボック,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,24 Arbok 阿柏怪 阿柏怪 アーボック Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
25,0025,Pikachu,皮卡丘,皮卡丘,ピカチュウ,,electric,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,25 Pikachu 皮卡丘 皮卡丘 ピカチュウ Electric 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
25,0025,Pikachu,皮卡丘,皮卡丘,ピカチュウ,Partner Pikachu,electric,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,25 Pikachu Partner Pikachu 皮卡丘 皮卡丘 ピカチュウ Electric 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
26,0026,Raichu,雷丘,雷丘,ライチュウ,,electric,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,26 Raichu 雷丘 雷丘 ライチュウ Electric 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
26,0026,Raichu,雷丘,雷丘,ライチュウ,Alolan Raichu,electric,psychic,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,26 Raichu Alolan Raichu 雷丘 雷丘 ライチュウ Electric Psychic 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
27,0027,Sandshrew,穿山鼠,穿山鼠,サンド,,ground,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,27 Sandshrew 穿山鼠 穿山鼠 サンド Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
27,0027,Sandshrew,穿山鼠,穿山鼠,サンド,Alolan Sandshrew,ice,steel,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,27 Sandshrew Alolan Sandshrew 穿山鼠 穿山鼠 サンド Ice Steel 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
28,0028,Sandslash,穿山王,穿山王,サンドパン,,ground,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,28 Sandslash 穿山王 穿山王 サンドパン Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
28,0028,Sandslash,穿山王,穿山王,サンドパン,Alolan Sandslash,ice,steel,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,28 Sandslash Alolan Sandslash 穿山王 穿山王 サンドパン Ice Steel 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
29,0029,Nidoran♀,尼多兰,尼多蘭,ニドラン♀,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,29 Nidoran♀ 尼多兰 尼多蘭 ニドラン♀ Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
30,0030,Nidorina,尼多娜,尼多娜,ニドリーナ,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,30 Nidorina 尼多娜 尼多娜 ニドリーナ Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
31,0031,Nidoqueen,尼多后,尼多后,ニドクイン,,poison,ground,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,31 Nidoqueen 尼多后 尼多后 ニドクイン Poison Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
32,0032,Nidoran♂,尼多朗,尼多朗,ニドラン♂,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,32 Nidoran♂ 尼多朗 尼多朗 ニドラン♂ Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
33,0033,Nidorino,尼多力诺,尼多力諾,ニドリーノ,,poison,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,33 Nidorino 尼多力诺 尼多力諾 ニドリーノ Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
34,0034,Nidoking,尼多王,尼多王,ニドキング,,poison,ground,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,34 Nidoking 尼多王 尼多王 ニドキング Poison Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
35,0035,Clefairy,皮皮,皮皮,ピッピ,,fairy,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,35 Clefairy 皮皮 皮皮 ピッピ Fairy 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
36,0036,Clefable,皮可西,皮可西,ピクシー,,fairy,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,36 Clefable 皮可西 皮可西 ピクシー Fairy 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
37,0037,Vulpix,六尾,六尾,ロコン,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,37 Vulpix 六尾 六尾 ロコン Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
37,0037,Vulpix,六尾,六尾,ロコン,Alolan Vulpix,ice,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,37 Vulpix Alolan Vulpix 六尾 六尾 ロコン Ice 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
38,0038,Ninetales,九尾,九尾,キュウコン,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,38 Ninetales 九尾 九尾 キュウコン Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
38,0038,Ninetales,九尾,九尾,キュウコン,Alolan Ninetales,ice,fairy,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,38 Ninetales Alolan Ninetales 九尾 九尾 キュウコン Ice Fairy 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
39,0039,Jigglypuff,胖丁,胖丁,プリン,,normal,fairy,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,39 Jigglypuff 胖丁 胖丁 プリン Normal Fairy 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
40,0040,Wigglytuff,胖可丁,胖可丁,プクリン,,normal,fairy,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,40 Wigglytuff 胖可丁 胖可丁 プクリン Normal Fairy 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
41,0041,Zubat,超音蝠,超音蝠,ズバット,,poison,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,41 Zubat 超音蝠 超音蝠 ズバット Poison Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
42,0042,Golbat,大嘴蝠,大嘴蝠,ゴルバット,,poison,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,42 Golbat 大嘴蝠 大嘴蝠 ゴルバット Poison Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
43,0043,Oddish,走路草,走路草,ナゾノクサ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,43 Oddish 走路草 走路草 ナゾノクサ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
44,0044,Gloom,臭臭花,臭臭花,クサイハナ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,44 Gloom 臭臭花 臭臭花 クサイハナ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
45,0045,Vileplume,霸王花,霸王花,ラフレシア,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,45 Vileplume 霸王花 霸王花 ラフレシア Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
46,0046,Paras,派拉斯,派拉斯,パラス,,bug,grass,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,46 Paras 派拉斯 派拉斯 パラス Bug Grass 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
47,0047,Parasect,派拉斯特,派拉斯特,パラセクト,,bug,grass,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,47 Parasect 派拉斯特 派拉斯特 パラセクト Bug Grass 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
48,0048,Venonat,毛球,毛球,コンパン,,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,48 Venonat 毛球 毛球 コンパン Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
49,0049,Venomoth,摩鲁蛾,摩魯蛾,モルフォン,,bug,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,49 Venomoth 摩鲁蛾 摩魯蛾 モルフォン Bug Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
50,0050,Diglett,地鼠,地鼠,ディグダ,,ground,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,50 Diglett 地鼠 地鼠 ディグダ Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
50,0050,Diglett,地鼠,地鼠,ディグダ,Alolan Diglett,ground,steel,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,50 Diglett Alolan Diglett 地鼠 地鼠 ディグダ Ground Steel 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
51,0051,Dugtrio,三地鼠,三地鼠,ダグトリオ,,ground,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,51 Dugtrio 三地鼠 三地鼠 ダグトリオ Ground 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
51,0051,Dugtrio,三地鼠,三地鼠,ダグトリオ,Alolan Dugtrio,ground,steel,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,51 Dugtrio Alolan Dugtrio 三地鼠 三地鼠 ダグトリオ Ground Steel 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
52,0052,Meowth,喵喵,喵喵,ニャース,,normal,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,52 Meowth 喵喵 喵喵 ニャース Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
52,0052,Meowth,喵喵,喵喵,ニャース,Alolan Meowth,dark,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,52 Meowth Alolan Meowth 喵喵 喵喵 ニャース Dark 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
52,0052,Meowth,喵喵,喵喵,ニャース,Galarian Meowth,steel,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,52 Meowth Galarian Meowth 喵喵 喵喵 ニャース Steel 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
53,0053,Persian,猫老大,貓老大,ペルシアン,,normal,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,53 Persian 猫老大 貓老大 ペルシアン Normal 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
53,0053,Persian,猫老大,貓老大,ペルシアン,Alolan Persian,dark,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,53 Persian Alolan Persian 猫老大 貓老大 ペルシアン Dark 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
54,0054,Psyduck,可达鸭,可達鴨,コダック,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,54 Psyduck 可达鸭 可達鴨 コダック Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
55,0055,Golduck,哥达鸭,哥達鴨,ゴルダック,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,55 Golduck 哥达鸭 哥達鴨 ゴルダック Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
56,0056,Mankey,猴怪,猴怪,マンキー,,fighting,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,56 Mankey 猴怪 猴怪 マンキー Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
57,0057,Primeape,火爆猴,火爆猴,オコリザル,,fighting,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,57 Primeape 火爆猴 火爆猴 オコリザル Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
58,0058,Growlithe,卡蒂狗,卡蒂狗,ガーディ,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,58 Growlithe 卡蒂狗 卡蒂狗 ガーディ Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
58,0058,Growlithe,卡蒂狗,卡蒂狗,ガーディ,Hisuian Growlithe,fire,rock,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,58 Growlithe Hisuian Growlithe 卡蒂狗 卡蒂狗 ガーディ Fire Rock 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
59,0059,Arcanine,风速狗,風速狗,ウインディ,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,59 Arcanine 风速狗 風速狗 ウインディ Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
59,0059,Arcanine,风速狗,風速狗,ウインディ,Hisuian Arcanine,fire,rock,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,form_change,59 Arcanine Hisuian Arcanine 风速狗 風速狗 ウインディ Fire Rock 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) form_change
60,0060,Poliwag,蚊香蝌蚪,蚊香蝌蚪,ニョロモ,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,60 Poliwag 蚊香蝌蚪 蚊香蝌蚪 ニョロモ Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
61,0061,Poliwhirl,蚊香君,蚊香君,ニョロゾ,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,61 Poliwhirl 蚊香君 蚊香君 ニョロゾ Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
62,0062,Poliwrath,蚊香泳士,蚊香泳士,ニョロボン,,water,fighting,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,62 Poliwrath 蚊香泳士 蚊香泳士 ニョロボン Water Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
63,0063,Abra,卡西,凱西,ケーシィ,,psychic,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,63 Abra 卡西 凱西 ケーシィ Psychic 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
64,0064,Kadabra,勇基拉,勇基拉,ユンゲラー,,psychic,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,64 Kadabra 勇基拉 勇基拉 ユンゲラー Psychic 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
65,0065,Alakazam,胡地,胡地,フーディン,,psychic,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,65 Alakazam 胡地 胡地 フーディン Psychic 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
65,0065,Alakazam,胡地,胡地,フーディン,Mega Alakazam,psychic,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,65 Alakazam Mega Alakazam 胡地 胡地 フーディン Psychic 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
66,0066,Machop,腕力,腕力,ワンリキー,,fighting,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,66 Machop 腕力 腕力 ワンリキー Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
67,0067,Machoke,豪力,豪力,ゴーリキー,,fighting,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,67 Machoke 豪力 豪力 ゴーリキー Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
68,0068,Machamp,怪力,怪力,カイリキー,,fighting,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,68 Machamp 怪力 怪力 カイリキー Fighting 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
69,0069,Bellsprout,喇叭芽,喇叭芽,マダツボミ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,69 Bellsprout 喇叭芽 喇叭芽 マダツボミ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
70,0070,Weepinbell,口呆花,口呆花,ウツドン,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,70 Weepinbell 口呆花 口呆花 ウツドン Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
71,0071,Victreebel,大食花,大食花,ウツボット,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,71 Victreebel 大食花 大食花 ウツボット Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
72,0072,Tentacool,玛瑙水母,瑪瑙水母,メノクラゲ,,water,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,72 Tentacool 玛瑙水母 瑪瑙水母 メノクラゲ Water Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
